"zip_code","household_income"
"14223",10187
"14224",18002
"14225",15836
"14226",12380
"14227",10034
"14228",10136
"14260",0
"14261",0
"14301",5891
"14302",111
"14303",2835
"14304",12661
"14305",7398
"14411",4964
"14413",50
"14414",2881
"14415",42
"14416",1397
"14418",474
"14420",7239
"14422",658
"14423",2067
"14424",12726
"14425",5040
"14427",802
"14428",3013
"14432",2059
"14433",1704
"14435",1089
"14437",4005
"14441",121
"14445",3454
"14450",18380
"14453",0
"14454",3220
"14456",7995
"14462",272
"14463",141
"14464",2676
"14466",653
"14467",4403
"14468",6966
"14469",2631
"14470",3276
"14471",1360
"14472",3474
"14475",134
"14476",936
"14477",651
"14478",273
"14479",45
"14480",262
"14481",727
"14482",3614
"14485",1628
"14486",107
"14487",2245
"14489",2745
"14502",4192
"14504",662
"14505",2036
"14506",372
"14507",407
"14510",2010
"14511",114
"14512",1923
"14513",5743
"14514",2538
"14515",89
"14516",875
"14517",1184
"14519",5271
"14521",1201
"14522",4100
"14525",1002
"14526",7957
"14527",4923
"14529",17
"14530",2490
"14532",1633
"14533",783
"14534",12514
"14536",279
"14537",61
"14539",63
"14541",845
"14542",0
"14543",1399
"14544",808
"14545",45
"14546",2146
"14548",1725
"14549",152
"14550",558
"14551",2321
"14555",650
"14556",0
"14557",41
"14559",7322
"14560",986
"14561",999
"14564",6529
"14568",2541
"14569",2957
"14571",551
"14572",1884
"14580",23601
"14585",102
"14586",4639
"14588",0
"14589",3033
"14590",2242
"14591",679
"14592",58
"14604",1850
"14605",4217
"14606",10969
"14607",10688
"14608",5732
"14609",17796
"14610",7248
"14611",7063
"14612",15325
"14613",5730
"14614",109
"14615",7924
"14616",11548
"14617",9520
"14618",8281
"14619",5467
"14620",12175
"14621",12987
"14622",5789
"14623",8825
"14624",15478
"14625",4805
"14626",12943
"14627",0
"14642",0
"14701",17033
"14706",2563
"14707",46
"14708",56
"14709",509
"14710",1295
"14711",652
"14712",1421
"14714",195
"14715",1036
"14716",776
"14717",306
"14718",754
"14719",1411
"14720",347
"14721",76
"14722",66
"14723",445
"14724",912
"14726",648
"14727",2014
"14728",435
"14729",361
"14731",585
"14732",6
"14733",1403
"14735",944
"14736",69
"14737",1710
"14738",1363
"14739",1041
"14740",424
"14741",776
"14742",59
"14743",843
"14744",442
"14747",846
"14748",233
"14750",1991
"14752",106
"14753",420
"14754",256
"14755",1137
"14756",0
"14757",1343
"14760",7955
"14767",820
"14769",288
"14770",1126
"14772",1573
"14774",60
"14775",978
"14777",192
"14778",0
"14779",2883
"14781",780
"14782",959
"14783",58
"14784",302
"14785",48
"14787",2309
"14788",29
"14801",1886
"14802",498
"14803",600
"14804",543
"14805",377
"14806",787
"14807",1204
"14808",240
"14809",1003
"14810",5373
"14812",1285
"14813",831
"14814",773
"14815",320
"14816",250
"14817",1239
"14818",779
"14819",247
"14820",212
"14821",1238
"14822",359
"14823",1512
"14824",289
"14825",309
"14826",756
"14827",16
"14830",8602
"14836",443
"14837",1977
"14838",819
"14839",252
"14840",1227
"14841",326
"14842",283
"14843",5550
"14845",9018
"14846",333
"14847",930
"14850",28134
"14853",0
"14854",53
"14855",305
"14856",0
"14858",493
"14859",408
"14860",512
"14861",515
"14864",452
"14865",1068
"14867",2386
"14869",561
"14870",4101
"14871",1826
"14872",233
"14873",808
"14874",51
"14877",226
"14878",256
"14879",862
"14880",671
"14881",141
"14882",1520
"14883",1776
"14884",119
"14885",230
"14886",2848
"14889",507
"14891",2014
"14892",3322
"14893",6
"14894",460
"14895",3888
"14897",283
"14898",541
"14901",5499
"14903",2966
"14904",6357
"14905",3820
